"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 22:00","2023","09","02","22:00","20.6","","5.9","","38","","0.0","","24","","9","","","","88.59","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-02 23:00","2023","09","02","23:00","19.9","","5.9","","40","","0.0","","31","","10","","","","88.60","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 00:00","2023","09","03","00:00","16.3","","6.9","","54","","0.0","","33","","6","","","","88.61","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 01:00","2023","09","03","01:00","14.3","","9.0","","70","","0.0","","34","","12","","","","88.63","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 02:00","2023","09","03","02:00","14.5","","9.0","","69","","0.0","","34","","18","","","","88.65","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 03:00","2023","09","03","03:00","13.3","","8.7","","74","","0.0","","33","","14","","","","88.67","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 04:00","2023","09","03","04:00","12.6","","8.5","","76","","0.0","","34","","10","","","","88.68","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 05:00","2023","09","03","05:00","11.5","","8.1","","80","","0.0","","1","","10","","","","88.57","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 06:00","2023","09","03","06:00","9.5","","7.2","","85","","0.0","","17","","6","","","","88.54","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 07:00","2023","09","03","07:00","12.2","","8.0","","76","","0.0","","21","","11","","","","88.48","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 08:00","2023","09","03","08:00","14.7","","9.1","","69","","0.0","","23","","6","","","","88.36","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 09:00","2023","09","03","09:00","17.2","","7.8","","54","","0.0","","22","","12","","","","88.31","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 10:00","2023","09","03","10:00","19.3","","8.1","","48","","0.0","","13","","7","","","","88.32","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 11:00","2023","09","03","11:00","19.8","","9.1","","50","","0.0","","24","","13","","","","88.28","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 12:00","2023","09","03","12:00","20.9","","9.7","","49","","0.0","","26","","13","","","","88.32","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 13:00","2023","09","03","13:00","16.4","","9.6","","64","","0.0","","36","","30","","","","88.39","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 14:00","2023","09","03","14:00","16.5","","7.9","","57","","0.0","","36","","31","","","","88.43","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 15:00","2023","09","03","15:00","15.8","","7.3","","57","","0.0","","1","","28","","","","88.46","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 16:00","2023","09","03","16:00","16.6","","6.9","","52","","0.0","","35","","20","","","","88.46","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 17:00","2023","09","03","17:00","16.5","","7.2","","54","","0.0","","2","","17","","","","88.49","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 18:00","2023","09","03","18:00","15.2","","7.4","","60","","0.0","","2","","17","","","","88.52","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 19:00","2023","09","03","19:00","14.5","","7.8","","64","","0.0","","3","","10","","","","88.55","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 20:00","2023","09","03","20:00","13.5","","7.1","","65","","0.0","","2","","11","","","","88.61","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 21:00","2023","09","03","21:00","12.8","","7.2","","69","","0.0","","1","","13","","","","88.64","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 22:00","2023","09","03","22:00","12.9","","7.6","","70","","0.0","","36","","8","","","","88.69","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-03 23:00","2023","09","03","23:00","11.9","","6.8","","71","","0.0","","3","","12","","","","88.70","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-04 00:00","2023","09","04","00:00","10.5","","6.6","","77","","0.0","","31","","8","","","","88.70","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-04 01:00","2023","09","04","01:00","10.6","","7.5","","82","","0.0","","35","","7","","","","88.70","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-04 02:00","2023","09","04","02:00","10.7","","7.0","","78","","0.0","","35","","2","","","","88.71","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-04 03:00","2023","09","04","03:00","11.0","","7.4","","78","","0.0","","33","","7","","","","88.72","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-04 04:00","2023","09","04","04:00","10.7","","6.9","","78","","0.0","","35","","9","","","","88.77","","","","","","NA"
"-114.00","51.11","CALGARY INT'L CS","3031094","2023-09-04 05:00","2023","09","04","05:00","9.4","","7.6","","88","","0.7","","3","","13","","","","88.76","","","","","","NA"
